,age,workclass,education,educational.num,marital.status,race,gender,hours.per.week,income
36,40.0 - 45.0,Self-emp-inc,Assoc-voc,11,Married-civ-spouse,White,Male,40.0 - 50.0,>50K
37,35.0 - 40.0,Private,HS-grad,9,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
38,25.0 - 31.0,Private,11th,7,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
39,16.0 - 25.0,State-gov,Some-college,10,Never-married,White,Male,0.0 - 36.0,<=50K
40,25.0 - 31.0,Private,Assoc-voc,11,Married-civ-spouse,White,Female,0.0 - 36.0,>50K
41,35.0 - 40.0,Private,7th-8th,4,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
42,50.0 - 58.0,Private,Some-college,10,Married-civ-spouse,White,Male,40.0 - 50.0,<=50K
43,50.0 - 58.0,Private,11th,7,Separated,Black,Female,0.0 - 36.0,<=50K
44,50.0 - 58.0,Self-emp-inc,HS-grad,9,Widowed,White,Female,40.0 - 50.0,<=50K
45,16.0 - 25.0,Private,Some-college,10,Never-married,White,Male,0.0 - 36.0,<=50K
46,35.0 - 40.0,Private,HS-grad,9,Divorced,Black,Male,36.0 - 40.0,<=50K
47,16.0 - 25.0,Private,Some-college,10,Never-married,White,Female,0.0 - 36.0,<=50K
48,16.0 - 25.0,Private,HS-grad,9,Never-married,White,Male,50.0 - 99.0,>50K
49,35.0 - 40.0,Private,9th,5,Married-spouse-absent,White,Male,50.0 - 99.0,<=50K
50,16.0 - 25.0,Private,Some-college,10,Never-married,White,Female,36.0 - 40.0,<=50K
51,58.0 - 90.0,Private,HS-grad,9,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
52,31.0 - 35.0,Local-gov,Bachelors,13,Married-civ-spouse,White,Male,40.0 - 50.0,>50K
53,40.0 - 45.0,Self-emp-inc,HS-grad,9,Married-civ-spouse,White,Male,40.0 - 50.0,>50K
54,31.0 - 35.0,Private,HS-grad,9,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
55,25.0 - 31.0,Private,Bachelors,13,Never-married,White,Female,40.0 - 50.0,<=50K
56,35.0 - 40.0,Private,Some-college,10,Divorced,White,Male,36.0 - 40.0,<=50K
57,25.0 - 31.0,Private,Masters,14,Never-married,White,Female,36.0 - 40.0,<=50K
58,31.0 - 35.0,Private,HS-grad,9,Never-married,White,Female,36.0 - 40.0,<=50K
59,45.0 - 50.0,Local-gov,HS-grad,9,Divorced,White,Female,36.0 - 40.0,<=50K
60,40.0 - 45.0,Private,Bachelors,13,Never-married,White,Female,36.0 - 40.0,<=50K
61,40.0 - 45.0,Self-emp-inc,Assoc-acdm,12,Married-civ-spouse,White,Male,50.0 - 99.0,>50K
62,16.0 - 25.0,Private,Some-college,10,Never-married,White,Male,0.0 - 36.0,<=50K
63,45.0 - 50.0,Private,HS-grad,9,Separated,White,Male,36.0 - 40.0,<=50K
64,40.0 - 45.0,Private,HS-grad,9,Married-civ-spouse,White,Male,40.0 - 50.0,<=50K
65,50.0 - 58.0,Private,Some-college,10,Married-civ-spouse,White,Male,40.0 - 50.0,>50K
66,45.0 - 50.0,Private,Assoc-voc,11,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
67,25.0 - 31.0,Private,HS-grad,9,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
68,16.0 - 25.0,Private,Some-college,10,Separated,White,Female,36.0 - 40.0,<=50K
69,45.0 - 50.0,Private,Some-college,10,Married-civ-spouse,Other,Male,36.0 - 40.0,<=50K
70,40.0 - 45.0,Private,HS-grad,9,Married-civ-spouse,White,Male,40.0 - 50.0,<=50K
71,58.0 - 90.0,Self-emp-inc,HS-grad,9,Married-civ-spouse,White,Male,0.0 - 36.0,<=50K
72,45.0 - 50.0,Private,HS-grad,9,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
73,16.0 - 25.0,Private,Some-college,10,Never-married,White,Female,36.0 - 40.0,<=50K
74,40.0 - 45.0,Self-emp-inc,Some-college,10,Married-civ-spouse,White,Male,40.0 - 50.0,<=50K
75,16.0 - 25.0,Private,Bachelors,13,Never-married,White,Male,36.0 - 40.0,<=50K
76,16.0 - 25.0,Private,Some-college,10,Separated,White,Male,36.0 - 40.0,<=50K
77,40.0 - 45.0,Self-emp-inc,HS-grad,9,Married-civ-spouse,White,Male,40.0 - 50.0,>50K
78,25.0 - 31.0,Self-emp-not-inc,Some-college,10,Married-civ-spouse,White,Male,40.0 - 50.0,<=50K
79,40.0 - 45.0,Private,HS-grad,9,Separated,White,Female,40.0 - 50.0,<=50K
80,16.0 - 25.0,Federal-gov,11th,7,Never-married,White,Female,0.0 - 36.0,<=50K
81,50.0 - 58.0,Private,HS-grad,9,Married-civ-spouse,White,Male,50.0 - 99.0,>50K
82,16.0 - 25.0,Federal-gov,Some-college,10,Never-married,White,Male,36.0 - 40.0,<=50K
83,58.0 - 90.0,Private,Bachelors,13,Never-married,White,Female,0.0 - 36.0,<=50K
84,45.0 - 50.0,Federal-gov,7th-8th,4,Never-married,Black,Male,0.0 - 36.0,<=50K
85,31.0 - 35.0,Private,Masters,14,Married-civ-spouse,White,Female,0.0 - 36.0,>50K
86,58.0 - 90.0,Federal-gov,Bachelors,13,Divorced,White,Male,36.0 - 40.0,<=50K
87,31.0 - 35.0,Private,Masters,14,Never-married,Amer-Indian-Eskimo,Male,36.0 - 40.0,<=50K
89,16.0 - 25.0,Private,Bachelors,13,Never-married,White,Female,36.0 - 40.0,<=50K
90,45.0 - 50.0,Private,10th,6,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
91,58.0 - 90.0,Private,HS-grad,9,Married-civ-spouse,White,Male,36.0 - 40.0,>50K
92,16.0 - 25.0,Private,HS-grad,9,Never-married,White,Female,36.0 - 40.0,<=50K
93,31.0 - 35.0,Private,Some-college,10,Never-married,Black,Female,0.0 - 36.0,<=50K
94,16.0 - 25.0,Private,Some-college,10,Never-married,Black,Male,36.0 - 40.0,<=50K
95,50.0 - 58.0,Self-emp-not-inc,9th,5,Widowed,White,Female,36.0 - 40.0,<=50K
96,50.0 - 58.0,Local-gov,HS-grad,9,Widowed,White,Female,0.0 - 36.0,<=50K
97,35.0 - 40.0,Private,10th,6,Separated,White,Female,36.0 - 40.0,<=50K
98,40.0 - 45.0,Local-gov,HS-grad,9,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
99,25.0 - 31.0,Private,HS-grad,9,Never-married,White,Male,36.0 - 40.0,<=50K
100,16.0 - 25.0,Private,Some-college,10,Never-married,Black,Male,0.0 - 36.0,<=50K
101,16.0 - 25.0,Private,HS-grad,9,Never-married,White,Female,0.0 - 36.0,<=50K
102,16.0 - 25.0,Private,HS-grad,9,Never-married,White,Female,40.0 - 50.0,<=50K
103,25.0 - 31.0,Private,Some-college,10,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
104,25.0 - 31.0,Private,Assoc-voc,11,Married-civ-spouse,White,Male,36.0 - 40.0,>50K
105,35.0 - 40.0,Private,Some-college,10,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
106,25.0 - 31.0,Private,HS-grad,9,Never-married,White,Male,36.0 - 40.0,<=50K
107,45.0 - 50.0,Private,HS-grad,9,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
108,16.0 - 25.0,Private,11th,7,Never-married,White,Female,0.0 - 36.0,<=50K
109,40.0 - 45.0,Private,HS-grad,9,Married-spouse-absent,White,Female,36.0 - 40.0,<=50K
110,40.0 - 45.0,Private,Bachelors,13,Divorced,White,Female,36.0 - 40.0,>50K
111,25.0 - 31.0,Local-gov,Bachelors,13,Divorced,White,Female,50.0 - 99.0,<=50K
112,16.0 - 25.0,Private,Some-college,10,Never-married,White,Female,0.0 - 36.0,<=50K
113,16.0 - 25.0,Private,Some-college,10,Never-married,White,Male,0.0 - 36.0,<=50K
114,40.0 - 45.0,Private,Some-college,10,Divorced,White,Female,36.0 - 40.0,<=50K
115,40.0 - 45.0,Private,HS-grad,9,Divorced,White,Female,36.0 - 40.0,<=50K
116,58.0 - 90.0,Private,HS-grad,9,Divorced,White,Female,0.0 - 36.0,<=50K
117,45.0 - 50.0,Federal-gov,Doctorate,16,Married-civ-spouse,White,Female,36.0 - 40.0,>50K
119,25.0 - 31.0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,White,Male,50.0 - 99.0,>50K
120,40.0 - 45.0,Private,Masters,14,Married-civ-spouse,White,Male,40.0 - 50.0,>50K
121,40.0 - 45.0,Private,Some-college,10,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
122,16.0 - 25.0,Private,HS-grad,9,Never-married,Black,Female,36.0 - 40.0,<=50K
123,40.0 - 45.0,Self-emp-inc,Doctorate,16,Married-civ-spouse,White,Male,40.0 - 50.0,>50K
124,50.0 - 58.0,Private,HS-grad,9,Married-civ-spouse,Black,Male,40.0 - 50.0,<=50K
125,25.0 - 31.0,Private,Assoc-acdm,12,Never-married,White,Female,36.0 - 40.0,<=50K
126,35.0 - 40.0,Private,HS-grad,9,Married-civ-spouse,White,Male,50.0 - 99.0,>50K
127,45.0 - 50.0,Private,7th-8th,4,Married-civ-spouse,Black,Male,36.0 - 40.0,<=50K
128,31.0 - 35.0,Private,HS-grad,9,Married-civ-spouse,White,Female,0.0 - 36.0,<=50K
129,16.0 - 25.0,Private,10th,6,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
130,45.0 - 50.0,Private,Masters,14,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
131,16.0 - 25.0,Private,Some-college,10,Never-married,Asian-Pac-Islander,Female,0.0 - 36.0,<=50K
132,35.0 - 40.0,Private,HS-grad,9,Married-civ-spouse,White,Male,50.0 - 99.0,>50K
133,40.0 - 45.0,Self-emp-inc,HS-grad,9,Married-civ-spouse,White,Male,40.0 - 50.0,>50K
134,31.0 - 35.0,Private,Masters,14,Never-married,White,Female,0.0 - 36.0,<=50K
135,45.0 - 50.0,Self-emp-not-inc,HS-grad,9,Widowed,White,Female,0.0 - 36.0,<=50K
136,40.0 - 45.0,Private,Assoc-voc,11,Widowed,White,Female,0.0 - 36.0,<=50K
137,31.0 - 35.0,Private,HS-grad,9,Married-civ-spouse,White,Male,36.0 - 40.0,>50K
138,50.0 - 58.0,Private,Bachelors,13,Married-civ-spouse,White,Male,40.0 - 50.0,>50K
139,16.0 - 25.0,Private,HS-grad,9,Never-married,White,Male,0.0 - 36.0,<=50K
140,25.0 - 31.0,Private,Some-college,10,Never-married,Black,Male,0.0 - 36.0,<=50K
141,25.0 - 31.0,Private,11th,7,Married-civ-spouse,Black,Female,0.0 - 36.0,<=50K
142,45.0 - 50.0,Private,7th-8th,4,Married-civ-spouse,White,Male,0.0 - 36.0,<=50K
143,16.0 - 25.0,Private,11th,7,Never-married,White,Male,36.0 - 40.0,<=50K
144,35.0 - 40.0,State-gov,Bachelors,13,Married-civ-spouse,White,Male,40.0 - 50.0,>50K
145,16.0 - 25.0,Private,Some-college,10,Never-married,White,Female,36.0 - 40.0,<=50K
146,25.0 - 31.0,Local-gov,HS-grad,9,Never-married,White,Male,36.0 - 40.0,<=50K
147,16.0 - 25.0,Private,Bachelors,13,Never-married,White,Male,0.0 - 36.0,<=50K
148,40.0 - 45.0,Private,Some-college,10,Never-married,Black,Female,36.0 - 40.0,<=50K
149,35.0 - 40.0,Self-emp-inc,Bachelors,13,Divorced,White,Male,36.0 - 40.0,<=50K
150,50.0 - 58.0,Private,11th,7,Married-civ-spouse,White,Male,0.0 - 36.0,<=50K
151,31.0 - 35.0,Private,HS-grad,9,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
152,16.0 - 25.0,Private,HS-grad,9,Married-civ-spouse,White,Male,40.0 - 50.0,<=50K
153,25.0 - 31.0,Private,Bachelors,13,Never-married,White,Male,36.0 - 40.0,<=50K
154,45.0 - 50.0,State-gov,Masters,14,Married-civ-spouse,White,Male,40.0 - 50.0,>50K
155,25.0 - 31.0,Private,Some-college,10,Married-civ-spouse,White,Male,36.0 - 40.0,>50K
156,50.0 - 58.0,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,White,Male,0.0 - 36.0,>50K
157,40.0 - 45.0,Private,HS-grad,9,Married-civ-spouse,White,Male,40.0 - 50.0,<=50K
158,16.0 - 25.0,Private,HS-grad,9,Never-married,White,Male,0.0 - 36.0,<=50K
159,50.0 - 58.0,Local-gov,HS-grad,9,Divorced,White,Male,0.0 - 36.0,<=50K
160,50.0 - 58.0,Private,HS-grad,9,Married-civ-spouse,White,Male,36.0 - 40.0,>50K
161,31.0 - 35.0,Private,Masters,14,Never-married,White,Male,36.0 - 40.0,<=50K
162,25.0 - 31.0,Private,Bachelors,13,Never-married,White,Female,36.0 - 40.0,<=50K
163,58.0 - 90.0,Private,12th,8,Married-civ-spouse,White,Male,50.0 - 99.0,<=50K
164,45.0 - 50.0,Local-gov,Masters,14,Separated,Black,Female,36.0 - 40.0,<=50K
165,35.0 - 40.0,Private,Some-college,10,Married-civ-spouse,White,Male,40.0 - 50.0,>50K
166,16.0 - 25.0,Private,Assoc-voc,11,Married-civ-spouse,White,Male,40.0 - 50.0,<=50K
167,35.0 - 40.0,Private,Some-college,10,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
168,31.0 - 35.0,Self-emp-inc,HS-grad,9,Married-civ-spouse,White,Male,40.0 - 50.0,>50K
169,35.0 - 40.0,Private,Some-college,10,Married-civ-spouse,White,Male,36.0 - 40.0,>50K
171,50.0 - 58.0,Self-emp-inc,Some-college,10,Married-civ-spouse,White,Male,36.0 - 40.0,>50K
172,35.0 - 40.0,Private,Bachelors,13,Widowed,White,Female,50.0 - 99.0,<=50K
173,40.0 - 45.0,Private,HS-grad,9,Divorced,Black,Female,36.0 - 40.0,<=50K
174,50.0 - 58.0,Private,HS-grad,9,Divorced,White,Male,40.0 - 50.0,<=50K
175,16.0 - 25.0,Private,HS-grad,9,Never-married,White,Male,40.0 - 50.0,<=50K
176,31.0 - 35.0,State-gov,Bachelors,13,Married-spouse-absent,Black,Male,36.0 - 40.0,<=50K
177,16.0 - 25.0,Private,HS-grad,9,Never-married,White,Female,40.0 - 50.0,<=50K
178,31.0 - 35.0,Private,Bachelors,13,Married-civ-spouse,White,Male,36.0 - 40.0,>50K
179,35.0 - 40.0,Private,Bachelors,13,Separated,White,Male,40.0 - 50.0,>50K
180,45.0 - 50.0,Private,Some-college,10,Divorced,Black,Female,36.0 - 40.0,<=50K
181,25.0 - 31.0,Private,HS-grad,9,Never-married,Black,Female,50.0 - 99.0,<=50K
182,25.0 - 31.0,Private,Some-college,10,Divorced,White,Female,36.0 - 40.0,<=50K
183,40.0 - 45.0,Private,Some-college,10,Never-married,White,Male,40.0 - 50.0,<=50K
184,40.0 - 45.0,Self-emp-inc,Prof-school,15,Married-civ-spouse,White,Female,40.0 - 50.0,>50K
185,16.0 - 25.0,Private,HS-grad,9,Never-married,White,Female,36.0 - 40.0,<=50K
186,25.0 - 31.0,Private,HS-grad,9,Married-civ-spouse,White,Male,36.0 - 40.0,>50K
187,50.0 - 58.0,Local-gov,Some-college,10,Married-civ-spouse,White,Male,36.0 - 40.0,>50K
188,25.0 - 31.0,Self-emp-inc,Bachelors,13,Married-civ-spouse,White,Male,40.0 - 50.0,<=50K
189,50.0 - 58.0,Private,Bachelors,13,Divorced,White,Male,40.0 - 50.0,<=50K
190,40.0 - 45.0,Local-gov,Bachelors,13,Divorced,White,Female,36.0 - 40.0,<=50K
191,45.0 - 50.0,Private,Assoc-voc,11,Married-civ-spouse,White,Male,36.0 - 40.0,>50K
192,31.0 - 35.0,Self-emp-inc,Bachelors,13,Married-civ-spouse,White,Male,50.0 - 99.0,<=50K
193,40.0 - 45.0,Private,7th-8th,4,Married-civ-spouse,Black,Male,36.0 - 40.0,<=50K
194,58.0 - 90.0,Local-gov,HS-grad,9,Married-civ-spouse,White,Male,0.0 - 36.0,<=50K
195,31.0 - 35.0,Private,Bachelors,13,Married-civ-spouse,White,Female,40.0 - 50.0,>50K
196,25.0 - 31.0,Private,Some-college,10,Married-civ-spouse,White,Male,50.0 - 99.0,>50K
197,16.0 - 25.0,Private,11th,7,Never-married,White,Male,0.0 - 36.0,<=50K
198,16.0 - 25.0,Private,Some-college,10,Never-married,White,Female,40.0 - 50.0,<=50K
199,35.0 - 40.0,Federal-gov,Assoc-voc,11,Divorced,White,Female,36.0 - 40.0,<=50K
200,35.0 - 40.0,Private,Bachelors,13,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
201,16.0 - 25.0,Private,Bachelors,13,Never-married,Black,Female,0.0 - 36.0,<=50K
202,45.0 - 50.0,Private,HS-grad,9,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
203,31.0 - 35.0,Federal-gov,HS-grad,9,Never-married,White,Male,0.0 - 36.0,<=50K
204,16.0 - 25.0,Private,5th-6th,3,Never-married,White,Male,36.0 - 40.0,<=50K
205,25.0 - 31.0,Private,Assoc-voc,11,Separated,White,Male,36.0 - 40.0,<=50K
206,16.0 - 25.0,Private,Bachelors,13,Never-married,White,Female,40.0 - 50.0,<=50K
207,31.0 - 35.0,Private,Bachelors,13,Married-civ-spouse,Asian-Pac-Islander,Male,36.0 - 40.0,<=50K
208,16.0 - 25.0,Private,HS-grad,9,Never-married,Asian-Pac-Islander,Female,36.0 - 40.0,<=50K
209,35.0 - 40.0,Private,HS-grad,9,Never-married,White,Male,36.0 - 40.0,<=50K
210,50.0 - 58.0,Self-emp-inc,HS-grad,9,Married-civ-spouse,White,Male,36.0 - 40.0,>50K
211,58.0 - 90.0,Local-gov,9th,5,Married-civ-spouse,White,Male,36.0 - 40.0,>50K
213,45.0 - 50.0,Private,Bachelors,13,Married-civ-spouse,White,Male,36.0 - 40.0,>50K
214,50.0 - 58.0,Local-gov,HS-grad,9,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
215,16.0 - 25.0,Private,12th,8,Never-married,White,Male,36.0 - 40.0,<=50K
216,35.0 - 40.0,Private,Prof-school,15,Married-civ-spouse,White,Male,40.0 - 50.0,<=50K
217,50.0 - 58.0,Private,Masters,14,Never-married,Asian-Pac-Islander,Female,40.0 - 50.0,<=50K
218,31.0 - 35.0,Private,HS-grad,9,Married-civ-spouse,White,Male,36.0 - 40.0,>50K
219,58.0 - 90.0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,White,Male,0.0 - 36.0,<=50K
220,31.0 - 35.0,Private,Assoc-voc,11,Divorced,White,Female,50.0 - 99.0,<=50K
221,50.0 - 58.0,Private,Some-college,10,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
222,40.0 - 45.0,Private,HS-grad,9,Never-married,Black,Female,0.0 - 36.0,<=50K
223,25.0 - 31.0,Private,Some-college,10,Never-married,White,Female,36.0 - 40.0,<=50K
224,25.0 - 31.0,Private,HS-grad,9,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
225,16.0 - 25.0,Local-gov,HS-grad,9,Never-married,White,Female,0.0 - 36.0,<=50K
226,50.0 - 58.0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,White,Male,50.0 - 99.0,<=50K
227,16.0 - 25.0,Private,Some-college,10,Never-married,White,Female,0.0 - 36.0,<=50K
228,58.0 - 90.0,Self-emp-not-inc,Some-college,10,Married-civ-spouse,White,Male,0.0 - 36.0,<=50K
229,16.0 - 25.0,Federal-gov,Some-college,10,Never-married,White,Female,0.0 - 36.0,<=50K
230,31.0 - 35.0,Private,HS-grad,9,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
231,25.0 - 31.0,Private,HS-grad,9,Married-civ-spouse,White,Female,36.0 - 40.0,<=50K
232,45.0 - 50.0,Private,HS-grad,9,Married-civ-spouse,White,Male,50.0 - 99.0,>50K
233,40.0 - 45.0,State-gov,HS-grad,9,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
234,16.0 - 25.0,Private,Some-college,10,Never-married,White,Male,0.0 - 36.0,<=50K
235,31.0 - 35.0,Private,Assoc-voc,11,Never-married,White,Male,40.0 - 50.0,<=50K
236,16.0 - 25.0,Private,Bachelors,13,Married-civ-spouse,White,Male,36.0 - 40.0,>50K
237,40.0 - 45.0,Federal-gov,Bachelors,13,Never-married,White,Male,36.0 - 40.0,<=50K
238,25.0 - 31.0,Private,Bachelors,13,Never-married,White,Male,40.0 - 50.0,<=50K
239,16.0 - 25.0,Private,Some-college,10,Never-married,White,Male,0.0 - 36.0,<=50K
240,58.0 - 90.0,Federal-gov,Some-college,10,Divorced,Black,Male,36.0 - 40.0,<=50K
241,35.0 - 40.0,Private,HS-grad,9,Never-married,Black,Female,36.0 - 40.0,<=50K
242,25.0 - 31.0,State-gov,HS-grad,9,Never-married,White,Male,36.0 - 40.0,<=50K
243,58.0 - 90.0,Self-emp-not-inc,Prof-school,15,Never-married,White,Male,0.0 - 36.0,<=50K
244,45.0 - 50.0,Private,Some-college,10,Married-civ-spouse,White,Female,40.0 - 50.0,<=50K
245,25.0 - 31.0,Local-gov,Masters,14,Never-married,White,Male,36.0 - 40.0,<=50K
246,25.0 - 31.0,Private,Some-college,10,Never-married,White,Female,36.0 - 40.0,<=50K
248,25.0 - 31.0,Private,Masters,14,Never-married,White,Female,36.0 - 40.0,<=50K
249,25.0 - 31.0,Private,Some-college,10,Married-civ-spouse,White,Male,36.0 - 40.0,>50K
250,25.0 - 31.0,Private,10th,6,Married-civ-spouse,White,Male,0.0 - 36.0,<=50K
251,25.0 - 31.0,Private,11th,7,Married-civ-spouse,White,Female,0.0 - 36.0,<=50K
252,16.0 - 25.0,Private,HS-grad,9,Married-civ-spouse,White,Male,50.0 - 99.0,<=50K
253,50.0 - 58.0,Private,10th,6,Married-civ-spouse,White,Male,36.0 - 40.0,>50K
254,58.0 - 90.0,Private,Some-college,10,Married-civ-spouse,White,Female,36.0 - 40.0,>50K
255,45.0 - 50.0,State-gov,Masters,14,Never-married,White,Male,36.0 - 40.0,<=50K
256,16.0 - 25.0,Private,HS-grad,9,Never-married,Amer-Indian-Eskimo,Female,0.0 - 36.0,<=50K
257,40.0 - 45.0,Private,HS-grad,9,Divorced,Black,Male,50.0 - 99.0,<=50K
258,16.0 - 25.0,Private,11th,7,Never-married,White,Male,0.0 - 36.0,<=50K
259,50.0 - 58.0,Self-emp-inc,Bachelors,13,Married-civ-spouse,White,Male,40.0 - 50.0,>50K
260,16.0 - 25.0,Private,Some-college,10,Never-married,Black,Male,50.0 - 99.0,<=50K
261,31.0 - 35.0,Federal-gov,HS-grad,9,Married-civ-spouse,White,Male,36.0 - 40.0,>50K
262,31.0 - 35.0,Private,HS-grad,9,Married-civ-spouse,White,Male,36.0 - 40.0,>50K
263,16.0 - 25.0,Private,HS-grad,9,Never-married,White,Female,0.0 - 36.0,<=50K
265,31.0 - 35.0,Private,Bachelors,13,Married-civ-spouse,Black,Male,50.0 - 99.0,<=50K
266,40.0 - 45.0,Private,Some-college,10,Never-married,White,Female,40.0 - 50.0,<=50K
267,16.0 - 25.0,Private,HS-grad,9,Never-married,Black,Male,36.0 - 40.0,<=50K
268,45.0 - 50.0,Private,Some-college,10,Married-civ-spouse,White,Male,36.0 - 40.0,>50K
269,58.0 - 90.0,Federal-gov,Some-college,10,Married-civ-spouse,Black,Male,36.0 - 40.0,<=50K
270,25.0 - 31.0,Private,HS-grad,9,Never-married,Black,Male,36.0 - 40.0,<=50K
271,40.0 - 45.0,Private,HS-grad,9,Married-civ-spouse,White,Male,50.0 - 99.0,>50K
272,58.0 - 90.0,Private,10th,6,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
273,25.0 - 31.0,Private,Some-college,10,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
274,40.0 - 45.0,Private,10th,6,Divorced,White,Female,36.0 - 40.0,<=50K
275,16.0 - 25.0,Private,Some-college,10,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
276,16.0 - 25.0,Private,HS-grad,9,Never-married,White,Male,36.0 - 40.0,<=50K
